Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano
Trevor Johnson,DE,Nebraska,6-5,260,4.8,35.5,23,110,7.06,4.08,2004
Shawn Johnson,DE,Pittsburgh,6-4,269,4.87,,,,,,2004
Maurice Jones,OLB,South Florida,6-1,249,4.71,35.5,26,118,7.16,4.21,2004
Adrian Jones,OT,Kansas,6-4,296,4.97,31,27,114,7.81,4.58,2004
Donnie Jones,P,LSU,6-3,222,4.88,,,,,,2004
Greg Jones,RB,Florida State,6-1,249,4.55,,,,,,2004
Julius Jones,RB,Notre Dame,5-10,217,4.47,37.5,,121,6.97,4.12,2004
Kevin Jones,RB,Virginia Tech,6-0,227,4.38,38,,120,,,2004
Sean Jones,S,Georgia,6-1,218,4.63,36.5,,122,7.19,,2004
Randy Jordan,CB,Kansas State,6-1,178,4.59,33.5,,115,7.34,4.21,2004
Carlos Joseph,OT,Miami (FL),6-6,345,5.33,,29,,,,2004
Nate Kaeding,K,Iowa,6-0,187,4.95,,,,,,2004
Mike Karney,FB,Arizona State,5-11,254,5.02,30,25,103,,,2004
Tommy Kelly,DE,Mississippi State,6-6,294,4.87,25,24,105,7.79,4.45,2004
Robert Kent,QB,Jackson State,6-4,222,4.87,26.5,,110,7.69,4.22,2004
Kelvin Kight,WR,Florida,6-0,213,4.56,34,,109,7.18,4.24,2004
David Kimball,K,Penn State,6-1,209,4.88,,,,,,2004
Derrick Knight,RB,Boston Col.,5-9,209,4.71,31.5,16,108,,,2004
Niko Koutouvides,ILB,Purdue,6-2,244,4.71,30.5,,108,6.98,3.88,2004
Ryan Krause,WR,Nebraska-Omaha,6-2,244,4.6,33.5,18,119,6.78,4.16,2004
Craig Krenzel,QB,Ohio State,6-3,228,4.84,28,,112,7.22,4.08,2004
Travis Laboy,DE,Hawaii,6-3,263,4.69,35.5,35,126,7.01,4.07,2004
Kyle Larson,P,Nebraska,6-1,204,4.86,,,,,,2004
Chad Lavalais,DT,LSU,6-1,303,5.09,,,,,,2004
Nick Leckey,C,Kansas State,6-3,290,5.26,27,18,97,7.71,4.47,2004
Andy Lee,P,Pittsburgh,6-1,207,5,,,,,,2004
Teddy Lehman,OLB,Oklahoma,6-1,240,4.55,34.5,26,113,6.91,4.06,2004
Rodney Leisle,DT,UCLA,6-3,309,5.15,,31,,,,2004
Brad Lekkerkerker,OT,California-Davis,6-7,317,5.36,27.5,23,102,7.94,4.71,2004
Jeremy LeSueur,CB,Michigan,6-0,197,4.53,35,,116,,,2004
Alex Lewis,OLB,Wisconsin,6-0,227,4.78,34.5,25,121,7.06,4.28,2004
Keith Lewis,S,Oregon,6-0,204,4.6,37,11,121,7.28,4.07,2004
Sean Locklear,OG,North Carolina State,6-4,308,5.16,29,27,100,7.85,4.56,2004
Jared Lorenzen,QB,Kentucky,6-3,288,5.28,,,,,,2004
J.P. Losman,QB,Tulane,6-2,224,4.73,33,,116,,,2004
Triandos Luke,WR,Alabama,5-11,199,4.51,38,,124,7.06,4.17,2004
Maurice Mann,WR,Nevada,6-1,191,4.57,34,,118,,,2004
Tim Manning,WR,Jackson State,5-11,179,4.59,28.5,,111,7.24,4.27,2004
Eli Manning,QB,Mississippi,6-5,221,4.9,,,,,,2004
Matt Mauck,QB,LSU,6-2,228,4.79,,,,,,2004
Luke McCown,QB,Louisiana Tech,6-4,208,4.71,37.5,,125,6.74,4.21,2004
Derek McCoy,WR,Colorado,6-3,210,4.73,38,,128,7.1,4.09,2004
Bobby McCray,DE,Florida,6-6,255,4.62,33.5,27,,,,2004
Dylan McFarland,OT,Montana,6-6,304,5.26,27.5,31,98,,,2004
Sean McHugh,TE,Penn State,6-5,264,4.92,29,18,115,7.36,4.09,2004
Jeris McIntyre,WR,Auburn,5-11,203,4.46,29,,112,6.98,4.08,2004
DeMarco McNeil,DT,Auburn,6-1,310,5.32,,,,,,2004
Caleb Miller,ILB,Arkansas,6-3,224,4.66,34.5,23,120,6.85,3.93,2004
Jim Molinaro,OT,Notre Dame,6-6,308,5.09,29.5,21,105,7.75,4.6,2004
Lewis Moore,OLB,Pittsburgh,6-1,234,4.68,,,,,,2004
Clarence Moore,WR,Northern Arizona,6-6,211,4.55,34,,122,6.84,4.16,2004
Mewelde Moore,RB,Tulane,5-11,209,4.65,35,,118,7.05,4.12,2004
Johnnie Morant,WR,Syracuse,6-4,229,4.51,41,,130,7.34,4.22,2004
John Navarre,QB,Michigan,6-6,246,5.19,26.5,,100,7.73,4.46,2004
James Newson,WR,Oregon State,6-1,213,4.76,31.5,,116,7.41,,2004
Jesse Nicassio,K,East. Washington,6-0,192,,,,,,,2004
Gabe Nyenhuis,DE,Colorado,6-3,269,4.74,39,25,124,6.92,4.03,2004
Antwan Odom,DE,Alabama,6-6,274,4.71,37,21,114,7.3,4.44,2004
Shane Olivea,OT,Ohio State,6-3,302,5.29,29,,92,8.25,4.71,2004
Igor Olshansky,DT,Oregon,6-5,315,4.96,33.5,41,110,7.61,4.41,2004
Uyi Osunde,DE,Connecticut,6-3,252,4.75,,33,,,,2004
Tony Pape,OT,Michigan,6-6,323,5.36,27,26,97,8.01,4.6,2004
Arnold Parker,S,Utah,6-2,213,4.54,35.5,18,120,6.98,4.12,2004
Samie Parker,WR,Oregon,5-10,179,4.39,36,,,,,2004
Josh Parrish,OT,Washington State,6-6,330,5.41,28,20,104,8.24,4.61,2004
Jarrett Payton,RB,Miami (FL),6-0,220,4.66,31,,115,7.34,4.31,2004
Bradlee Van Pelt,QB,Colorado State,6-2,231,4.98,33.5,,115,6.89,4.11,2004
Carlos Perez,WR,Florida,5-11,203,4.78,38,,118,,4.45,2004
Chris Perry,RB,Michigan,6-0,224,4.56,,19,,,,2004
Stephen Peterman,OG,LSU,6-4,312,5.46,24.5,23,95,7.87,4.68,2004
Jason Peters,TE,Arkansas,6-4,336,4.93,29,21,115,7.7,4.75,2004
Shaun Phillips,DE,Purdue,6-3,255,4.78,33,,114,6.95,4.23,2004
Cody Pickett,QB,Washington,6-3,233,4.79,30.5,,109,7.19,4.3,2004
Brett Pierce,TE,Stanford,6-5,250,4.95,27,19,103,7.13,4.37,2004
Lousaka Polite,FB,Pittsburgh,6-0,246,4.68,32,28,117,7.45,4.18,2004
Will Poole,CB,USC,5-10,194,4.47,,16,,,,2004
Derrick Pope,OLB,Alabama,5-11,230,4.71,,24,106,,,2004
Kendyll Pope,OLB,Florida State,6-1,226,4.7,,,118,,4.26,2004
Etric Pruitt,S,Southern Miss,6-0,197,4.57,39.5,,116,7.15,4,2004
Chad Pugh,DT,TCU,6-3,321,5.38,25,19,98,8.17,4.85,2004
Keiwan Ratliff,CB,Florida,5-10,194,4.56,,11,,,,2004
Dexter Reid,S,North Carolina,5-11,203,4.56,,,,,,2004
Alan Reuber,OG,Texas A&M,6-6,323,5.49,29,26,98,7.95,4.91,2004
Robert Reynolds,ILB,Ohio State,6-3,251,4.76,32.5,18,116,7.17,3.94,2004
Lawrence Richardson,CB,Arkansas,5-9,194,4.62,31,8,112,,,2004
Greg Richmond,OLB,Oklahoma State,6-1,233,4.73,,17,,,,2004
Brian Rimpf,OT,East Carolina,6-6,319,5.41,28,31,105,7.97,4.66,2004
Scott Rislov,QB,San Jose State,6-1,224,4.95,30,,119,7.44,4.34,2004
Constantin Ritzmann,DE,Tennessee,6-3,259,4.97,29,24,108,7.39,4.48,2004
Philip Rivers,QB,North Carolina State,6-5,229,5.08,,,,,,2004
Ell Roberson,QB,Kansas State,5-11,194,4.6,,,,,,2004
Dunta Robinson,CB,South Carolina,5-11,186,4.34,36,15,120,6.97,3.75,2004
Ben Roethlisberger,QB,Miami (OH),6-5,241,4.75,,,,,,2004
Jacob Rogers,OT,USC,6-6,307,5.3,,30,,,,2004
Fred Russell,RB,Iowa,5-7,195,4.5,34,21,121,7.09,4.3,2004
Rod Rutherford,QB,Pittsburgh,6-2,240,4.79,30.5,,110,7.66,4.41,2004
Sean Ryan,TE,Boston Col.,6-4,268,4.97,32.5,22,115,,,2004
P.K. Sam,WR,Florida State,6-3,210,4.54,34.5,,,7.04,,2004
Stanford Samuels,CB,Florida State,5-10,193,4.58,,,,,,2004
B.J. Sander,P,Ohio State,6-4,219,4.84,,,,,,2004
Bob Sanders,S,Iowa,5-8,204,4.35,41.5,15,128,6.7,3.91,2004
Matt Schaub,QB,Virginia,6-6,243,5.04,30.5,,110,7.65,4.62,2004
Bo Schobel,DE,TCU,6-5,271,4.8,32.5,25,109,6.94,4.38,2004
Stuart Schweigert,S,Purdue,6-2,218,4.47,38,18,124,6.68,3.89,2004
Josh Scobee,K,Louisiana Tech,6-1,191,4.87,,,,,,2004
Darrion Scott,DE,Ohio State,6-3,289,4.81,36.5,,118,,4.32,2004
Guss Scott,S,Florida,5-10,204,4.46,39,20,124,,,2004
Jake Scott,OT,Idaho,6-5,281,5.06,34.5,24,110,7.96,4.68,2004
Richard Seigler,ILB,Oregon State,6-2,244,4.86,,25,,,,2004
Nicholas Setta,K,Notre Dame,5-11,204,4.8,,,,,,2004
Josh Sewell,C,Nebraska,6-2,301,5.06,30,30,99,7.53,4.24,2004
Jason Shivers,S,Arizona State,6-0,201,4.51,36,19,128,,,2004
Jeff Shoate,CB,San Diego State,5-10,189,4.62,36,12,121,7,3.88,2004
Andrew Shull,DE,Kansas State,6-5,265,4.9,30.5,16,107,7.46,4.28,2004
Junior Siavii,DT,Oregon,6-4,344,5.16,24.5,31,93,7.93,4.84,2004
Kurt Sigler,C,East. Washington,6-5,306,5.84,24,,93,8.09,4.63,2004
Justin Smiley,OG,Alabama,6-3,298,5.07,32,19,111,7.72,4.41,2004
Antonio Smith,DE,Oklahoma State,6-3,274,5.03,33,24,108,,4.75,2004
Daryl Smith,OLB,Georgia Tech,6-2,234,4.67,,24,,,,2004
Jonathan Smith,WR,Georgia Tech,5-10,194,4.78,32.5,,114,,4.35,2004
Keith Smith,CB,McNeese State,5-11,201,4.48,36.5,12,116,,,2004
Will Smith,DE,Ohio State,6-3,275,4.6,,,,,,2004
Jeff Smoker,QB,Michigan State,6-3,223,4.95,26.5,,101,7.65,4.36,2004
Chris Snee,OG,Boston Col.,6-3,314,5.1,30.5,29,104,7.75,4.66,2004
Shannon Snell,OG,Florida,6-4,316,5.82,25.5,21,93,8.38,4.91,2004
Isaac Sopoaga,DT,Hawaii,6-2,317,4.97,30.5,42,99,7.79,4.66,2004
Cody Spencer,ILB,North Texas,6-2,242,4.65,34.5,27,116,6.94,4.08,2004
John Standeford,WR,Purdue,6-3,197,4.6,32.5,,113,6.9,4.08,2004
Max Starks,OT,Florida,6-7,350,5.56,27.5,21,98,7.88,4.65,2004
Randy Starks,DT,Maryland,6-3,314,5.08,29.5,27,102,,,2004
Kendrick Starling,WR,San Jose State,6-1,193,4.49,31.5,,119,6.88,3.87,2004
Alex Stepanovich,C,Ohio State,6-3,304,5.29,25.5,,96,7.64,4.44,2004
Larry Stevens,DE,Michigan,6-2,241,4.86,,,,,,2004
Derrick Strait,CB,Oklahoma,5-11,196,4.52,,,,,,2004
Drew Strojny,OT,Duke,6-7,327,5.37,29.5,,99,7.98,4.84,2004
Billy Strother,OLB,New Mexico,6-0,241,4.68,33,,112,7.41,4.15,2004
B.J. Symons,QB,Texas Tech,6-0,210,4.9,,,,,,2004
Thomas Tapeh,FB,Minnesota,6-1,245,4.8,32.5,23,114,7.65,4.52,2004
Greg Taplin,DE,Michigan State,6-5,267,5.09,33,,115,,,2004
Jamaar Taylor,WR,Texas A&M,6-1,197,4.46,,,,,,2004
Sean Taylor,S,Miami (FL),6-2,230,4.51,,,,,,2004
Craig Terrill,DT,Purdue,6-2,290,5.21,26.5,28,100,7.39,4.1,2004
Jeb Terry,OG,North Carolina,6-5,313,5.2,29,27,105,8.03,4.98,2004
Dontarrious Thomas,OLB,Auburn,6-2,241,4.57,38.5,26,129,,4,2004
Joey Thomas,CB,Montana State,6-1,195,4.44,38.5,17,122,6.82,3.88,2004
Sloan Thomas,WR,Texas,6-1,203,4.5,,,,,,2004
Chris Thompson,CB,Nicholls State,6-0,189,4.5,35,12,117,7.09,4.14,2004
Bruce Thornton,CB,Georgia,5-10,197,4.5,37.5,,122,,,2004
Andrae Thurman,WR,Arizona,5-11,192,4.54,34.5,,121,7.31,4.3,2004
Deryck Toles,OLB,Penn State,6-0,224,4.58,37,24,112,7.12,4.23,2004
Reggie Torbor,DE,Auburn,6-2,254,4.65,34,16,120,7.48,4.46,2004
Daryl Towns,OLB,Nevada,6-0,224,4.57,37,,112,7.15,4.25,2004
Ben Troupe,TE,Florida,6-4,265,4.65,,,,,,2004
Marcus Tubbs,DT,Texas,6-4,321,5.05,32.5,29,105,,,2004
Sean Tufts,OLB,Colorado,6-4,242,4.61,34.5,21,118,6.94,3.94,2004
Michael Turner,RB,Northern Illinois,5-10,237,4.49,31,22,114,7.5,4.15,2004
Kenechi Udeze,DE,USC,6-3,281,4.77,,,,,,2004
Ben Utecht,TE,Minnesota,6-6,249,4.8,,,,,,2004
Nathan Vasher,CB,Texas,5-10,177,4.49,,,,,,2004
Khaleed Vaughn,DE,Clemson,6-4,281,5,31.5,14,113,7.38,4.35,2004
Jonathan Vilma,ILB,Miami (FL),6-0,233,4.61,,,,,,2004
Michael Waddell,CB,North Carolina,5-11,187,4.31,37.5,14,121,6.84,4.03,2004
Alex Wade,FB,Duke,6-0,248,4.97,32.5,22,114,7.5,4.41,2004
Mike Walker,TE,Minnesota-Morris,6-4,254,4.84,30,19,106,7.51,4.35,2004
Matt Ware,S,UCLA,6-2,209,4.54,,15,,,,2004
Donnell Washington,DT,Clemson,6-5,332,5,31,34,109,7.8,4.88,2004
Rashad Washington,S,Kansas State,6-2,223,4.61,34,14,116,7.06,4.02,2004
Benjamin Watson,TE,Georgia,6-3,258,4.5,35.5,34,123,7.38,4.11,2004
Courtney Watson,OLB,Notre Dame,6-1,237,4.56,36.5,22,114,7.39,4.35,2004
Darius Watts,WR,Marshall,6-1,188,4.5,,,,,,2004
Scott Wells,C,Tennessee,6-2,300,5.3,31,31,109,7.56,4.35,2004
Travelle Wharton,OT,South Carolina,6-4,312,5.14,31.5,,105,8.31,4.58,2004
Huey Whittaker,WR,South Florida,6-4,234,4.62,37,,121,7.06,4.13,2004
Ernest Wilford,WR,Virginia Tech,6-4,226,4.79,40.5,,130,,4.17,2004
Vince Wilfork,DT,Miami (FL),6-1,323,5.08,,36,,,,2004
Virgil Williams,S,Washington State,6-1,196,4.66,,11,,,,2004
Corey Williams,DT,Arkansas State,6-4,313,5.18,28,25,106,7.97,4.55,2004
D.J. Williams,OLB,Miami (FL),6-1,250,4.55,,,,,,2004
Demorrio Williams,OLB,Nebraska,6-1,232,4.52,37,16,125,7.02,4.11,2004
Madieu Williams,S,Maryland,6-0,193,4.48,,18,125,,,2004
Quintin Williams,S,Wake Forest,5-11,207,4.6,37,21,122,7.28,4.09,2004
Reggie Williams,WR,Washington,6-4,229,4.56,,,,,,2004
Roy Williams,WR,Texas,6-2,212,4.48,,,,,,2004
Shaud Williams,RB,Alabama,5-7,193,4.73,34,15,114,7.01,4.15,2004
Keith Willis,TE,Virginia Tech,6-6,260,5.03,,21,114,7.33,4.44,2004
George Wilson,WR,Arkansas,6-0,213,4.63,35,,120,7.07,3.98,2004
Gibril Wilson,S,Tennessee,6-0,197,4.47,,15,120,,,2004
Kris Wilson,TE,Pittsburgh,6-2,248,4.62,35,24,119,6.88,4.1,2004
Mark Wilson,OT,California,6-7,314,5.36,28.5,24,108,7.53,4.49,2004
Quincy Wilson,RB,West Virginia,5-9,225,4.6,33.5,26,118,7.68,4.36,2004
Travis Wilson,FB,Kansas State,6-3,256,4.89,33,25,109,7.56,4.36,2004
Marcus Winn,S,Arkansas,6-0,223,4.86,,21,,,,2004
Kellen Winslow,TE,Miami (FL),6-4,251,4.55,,24,120,,,2004
Jeff Womble,DT,Florida State,6-1,313,5.38,28,18,,,,2004
Rashaun Woods,WR,Oklahoma State,6-2,202,4.47,39,,125,6.93,3.97,2004
Renaldo Works,RB,Oklahoma,6-0,222,4.7,30.5,21,115,7.25,4.09,2004
Carlos Wright,WR,Tennessee State,6-1,203,4.65,34,,122,7.12,4.31,2004
Jason Wright,RB,Northwestern,5-10,210,4.68,30,,111,7.35,4.12,2004
Dexter Wynn,CB,Colorado State,5-9,175,4.49,39,13,123,6.7,3.9,2004
Kirk Yliniemi,K,Oregon State,6-0,214,4.69,,,,,,2004
Kevin Youngblood,WR,Clemson,6-4,213,4.64,34,,,,,2004
Hamza Abdullah,S,Washington State,6-2,214,,39,18,114,6.94,,2005
Anthony Alabi,OT,TCU,6-5,310,5.12,32.5,18,105,7.62,4.6,2005
Lorenzo Alexander,DT,California,6-2,289,5.12,29.5,28,106,7.53,4.55,2005
Jared Allen,QB,Florida Atlantic,6-2,218,4.93,27.5,,106,7.29,4.39,2005
Derek Anderson,QB,Oregon State,6-6,242,5.03,29,,103,7.67,4.62,2005
Calvin Armstrong,OT,Washington State,6-7,325,5.51,34,26,100,7.62,4.66,2005
J.J. Arrington,RB,California,5-9,214,4.4,35,18,121,6.81,4.1,2005
O.J. Atogwe,S,Stanford,5-11,219,4.52,,22,,,,2005
Adrian Awasom,DE,North Texas,6-4,279,4.93,32.5,23,107,7.57,4.4,2005
David Baas,OG,Michigan,6-4,319,5.06,29.5,29,105,7.5,4.46,2005
Jonathan Babineaux,DT,Iowa,6-2,286,4.87,29.5,21,109,7.7,4.57,2005
Billy Bajema,TE,Oklahoma State,6-5,261,4.74,31.5,16,113,7.05,4.25,2005
Marion Barber,RB,Minnesota,5-11,221,4.49,40,20,127,,,2005
Khalif Barnes,OT,Washington,6-6,305,4.92,35,26,106,7.57,4.54,2005
Alex Barron,OT,Florida State,6-7,320,4.87,35.5,,112,7.83,4.56,2005
Ronald Bartell,CB,Howard,6-1,211,4.37,35.5,21,,,,2005
Jordan Beck,OLB,Cal Poly,6-2,233,4.6,41,25,128,7.11,4.1,2005
Bryce Benekos,P,Texas-El Paso,6-5,227,5.1,,,,,,2005
Cedric Benson,RB,Texas,5-10,222,4.62,,,,,,2005
Adam Bergen,TE,Lehigh,6-4,265,4.78,38,25,121,7.11,4.1,2005
Joe Berger,OT,Michigan Tech,6-5,303,5.18,27,30,96,7.77,4.62,2005
Justin Beriault,S,Ball State,6-3,204,4.52,39.5,14,132,6.92,3.8,2005
Brock Berlin,QB,Miami (FL),6-1,221,4.83,29,,109,7.49,4.54,2005
Atari Bigby,S,Central Florida,5-11,214,4.57,35,19,112,7,4.1,2005
DeCori Birmingham,RB,Arkansas,5-10,210,4.56,34.5,14,118,7.13,4.28,2005
Darryl Blackstock,OLB,Virginia,6-3,247,4.7,39,25,126,7.05,4.29,2005
Michael Boley,OLB,Southern Miss,6-3,236,4.56,34,,113,7.08,4.12,2005
Mark Bradley,WR,Oklahoma,6-1,201,4.37,39.5,,128,6.96,3.98,2005
Craig Bragg,WR,UCLA,6-1,196,4.46,36,,,,,2005
Jamaal Brimmer,S,UNLV,6-1,216,4.8,32,16,113,7.78,4.63,2005
Wesley Britt,OT,Alabama,6-8,314,5.2,,24,,,,2005
C.J. Brooks,OG,Maryland,6-5,309,5.18,31.5,24,108,7.61,4.56,2005
Nehemiah Broughton,RB,Citadel,5-11,250,4.59,30,25,108,7.54,4.28,2005
Tim Brown,OT,West Virginia,6-4,318,5.6,29,23,93,7.84,4.92,2005
Elton Brown,OG,Virginia,6-5,329,4.93,,,,,,2005
Jason Brown,C,North Carolina,6-3,313,5.4,30.5,23,105,7.72,4.51,2005
Jammal Brown,OT,Oklahoma,6-6,316,5.06,31.5,,109,7.93,4.67,2005
Reggie Brown,WR,Georgia,6-2,196,4.45,41.5,,128,6.99,3.94,2005
Ronnie Brown,RB,Auburn,6-0,233,4.43,34,18,117,7.1,4.08,2005
Brandon Browner,CB,Oregon State,6-3,221,4.63,36.5,13,123,7.2,4.24,2005
Anthony Bryant,DT,Alabama,6-3,337,5.06,31.5,23,106,7.8,4.68,2005
Doug Buckles,OG,Mississippi,6-5,311,5.53,23.5,18,89,8.17,4.8,2005
Dan Buenning,OG,Wisconsin,6-4,320,5.35,28,29,111,7.9,4.59,2005
Josh Bullocks,S,Nebraska,6-0,209,4.46,37.5,,118,7.09,4.08,2005
Tim Bulman,DT,Boston Col.,6-3,294,4.91,32.5,35,115,7.23,4.2,2005
Kevin Burnett,OLB,Tennessee,6-3,239,4.58,36,20,130,,,2005
Vincent Burns,DE,Kentucky,6-0,267,4.84,35,25,122,7.24,4.41,2005
Larry Burt,DT,Miami (OH),6-2,304,5.36,28,22,98,8.03,4.72,2005
James Butler,S,Georgia Tech,6-2,213,4.51,40.5,16,127,7.1,3.98,2005
Jason Campbell,QB,Auburn,6-5,230,4.71,,,,,,2005
Chris Canty,DE,Virginia,6-7,279,4.98,,,,,,2005
Jerome Carter,S,Florida State,5-11,220,4.47,35,21,121,7.18,4.04,2005
Luis Castillo,DT,Northwestern,6-3,303,4.79,34.5,32,112,,,2005
Timmy Chang,QB,Hawaii,6-1,211,5.08,29,,111,7.24,4.2,2005
Maurice Clarett,RB,Ohio State,6-0,234,4.78,34,22,115,,,2005
Ryan Claridge,OLB,UNLV,6-2,254,4.78,,,,,,2005
Mark Clayton,WR,Oklahoma,5-10,193,4.41,36.5,,118,6.95,4.07,2005
Jonathan Clinkscale,OG,Wisconsin,6-2,315,5.51,27.5,,99,,,2005
DeAndra Cobb,RB,Michigan State,5-10,196,4.49,34,17,118,7.13,4.25,2005
Dan Cody,DE,Oklahoma,6-5,254,4.75,,,,,,2005
Shaun Cody,DT,USC,6-4,293,5.05,,34,,,,2005
Trent Cole,OLB,Cincinnati,6-2,236,4.7,,,,,,2005
Eric Coleman,DT,Clemson,6-5,288,5.12,33,27,118,7.42,4.71,2005
Jerome Collins,TE,Notre Dame,6-4,267,4.71,,21,118,,,2005
Nick Collins,CB,Bethune-Cookman,5-11,206,4.36,40,11,118,6.94,4.16,2005
Chris Colmer,OT,Boise State,6-5,310,5.19,,,,,,2005
Jon Colon,OT,Florida,6-7,317,5.64,25.5,,85,8.03,4.89,2005
Dustin Colquitt,P,Tennessee,6-2,211,4.88,,,,,,2005
Dan Connolly,OT,Southeast Missouri,6-4,311,5.19,28.5,22,108,7.65,4.54,2005
Sean Considine,S,Iowa,6-0,212,4.5,37,19,117,7.09,3.92,2005
Atcheson Conway,S,Bowie State,5-10,219,4.9,32,14,108,7.38,4.1,2005
Roger Cooper,OLB,Montana State,6-2,239,4.75,35.5,19,118,7.28,4.33,2005
Junius Coston,C,North Carolina A&T,6-3,310,5.31,29.5,21,102,7.93,4.56,2005
Jonas Crafts,TE,Texas-El Paso,6-3,247,4.89,,24,,,,2005
Channing Crowder,ILB,Florida,6-2,252,4.71,,,,,,2005
Airese Currie,WR,Clemson,5-10,186,4.49,38,,125,7.05,4.07,2005
Markus Curry,CB,Michigan,5-11,181,4.59,35,12,117,7.04,3.89,2005
Tony Curtis,TE,Portland State,6-5,269,4.93,,21,115,,,2005
Harvey Dahl,OT,Nevada,6-6,299,5.42,27,17,99,8.15,4.58,2005
Travis Daniels,CB,LSU,6-1,194,4.54,35,,120,6.95,3.97,2005
Josh Davis,WR,Marshall,6-0,191,4.52,37.5,,118,7.19,4.22,2005
Anthony Davis,RB,Wisconsin,5-7,200,4.5,38,18,121,7.39,,2005
Chauncey Davis,DE,Florida State,6-2,273,4.8,37,22,118,7.66,4.44,2005
Jim Davis,DE,Virginia Tech,6-3,277,4.75,34,,111,7.11,4.23,2005
Thomas Davis,S,Georgia,6-1,230,4.6,36.5,,115,7.09,3.97,2005
Ben Dougherty,QB,Florida A&M,6-2,222,4.72,33,,108,7.41,4.34,2005
Joel Dreessen,TE,Colorado State,6-4,260,4.72,36,22,113,7.09,4.01,2005
Adell Duckett,DE,Texas Tech,6-3,270,4.93,34.5,14,105,7.75,4.35,2005
Kevin Dudley,FB,Michigan,6-0,238,4.91,30,19,109,7.25,4.56,2005
Clifford Dukes,DE,Michigan State,6-3,268,4.95,31.5,28,,,,2005
Jon Dunn,OT,Virginia Tech,6-7,328,5.4,,,,,,2005
Braylon Edwards,WR,Michigan,6-3,211,4.45,,,,,,2005
Abraham Elimimian,CB,Hawaii,5-10,190,4.62,39,14,121,,4.05,2005
Atiyyah Ellison,DT,Missouri,6-4,305,5.07,27.5,25,103,8,4.79,2005
